Comment,Designator,Footprint,LCSC Part #
TEENSY_4.1,A1,TEENSY_LONG_EXT,
BZX84B24-E3-08SOT-23_2P9X1P3-1P9_VIS,CR1,SOT95P240X110-3N,
22u,"C1,C2",CAPC2012X110,
100u,"C3,C4",CAPPRD508W65D1000H1100B,
330n,"C7,C8",CAPC2012X110,
TMC2209_SILENTSTEPSTICK,"DRIVER1,DRIVER2",MODULE_TMC2209_SILENTSTEPSTICK,
SS34,D1,SMB_ONS,
B4B-XH-A,"FAN,OLED",B4B-XH-A,
B2B-XH-A,I2C,B2B-XH-A,
22u,L1,INDM5450X580,
JST-4-PTH-VERT,"MOTOR1,MOTOR2",JST-4-PTH-VERT,
1X02_2.54_SCREWTERM,"POWER,TRANSMIT",1X02_2.54_SCREWTERM,
PC817-B,Q1,DIP762W50P254L650H455Q4B,
DMP6180SK3-13TO252_DMP6180SK3_DIO,REV_POLARITY,TO252_DMP6180SK3_DIO,
B5B-XH-A,ROTARY,JST_B5B-XH-A,
470,R1,RESC2012X65,
2.2k,"R2,R5",RESC3216X70,
100k,R3,RESC2012X65,
100k,"R4,R6",RESC3216X70,
2.2k,R7,RESC2012X65,
62k,R8,RESC2012X65,
10k,R9,RESC2012X65,
2.7k,"R10,R11",RESC3216X70,
1k,"R12,R13",RESC3216X70,
L7812CV,STEP_DOWN,TO-220-3,
MT3608,STEP_UP,SOT95P280X145-6N,
B3B-XH-A,SWR,B3B-XH-A,
TLV2372IP,U1,DIP794W45P254L959H508Q8,
